City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Maniitsoq,GL,65.42,-52.90,37.76,91,98,6.13,overcast clouds
83,Alakurtti,RU,66.97,30.35,47.26,74,99,5.26,overcast clouds
84,Avarua,CK,-21.21,-159.78,75.25,64,75,6.91,broken clouds
85,Vila Franca Do Campo,PT,37.72,-25.43,66.61,74,0,13.09,clear sky
86,Cherskiy,RU,68.75,161.30,41.22,74,86,4.76,overcast clouds
87,Qaanaaq,GL,77.48,-69.36,39.25,71,91,3.44,overcast clouds
88,Sorland,NO,67.67,12.69,51.66,88,100,4.18,overcast clouds
89,Irondequoit,US,43.21,-77.58,66.96,51,40,18.41,scattered clouds
90,Sola,VU,-13.88,167.55,74.07,100,100,0.0,overcast clouds
91,Chernihiv,UA,51.00,32.00,59.0,79,10,2.95,clear sky
92,Lebu,CL,-37.62,-73.65,49.37,65,100,0.85,light rain
93,Saint-Augustin,CA,51.23,-58.65,51.67,99,100,7.94,overcast clouds
94,Chanute,US,37.68,-95.46,94.44,49,0,5.75,clear sky
95,Kerema,PG,-7.96,145.78,78.26,86,100,3.91,heavy intensity rain
96,Atuona,PF,-9.80,-139.03,77.76,71,39,18.14,scattered clouds
97,Russell,US,32.35,-85.20,94.12,31,52,9.46,broken clouds
98,Butaritari,KI,3.07,172.79,80.98,79,27,12.21,light rain
99,Viedma,AR,-40.81,-63.00,53.78,35,43,15.1,scattered clouds
100,Roald,NO,62.58,6.13,59.0,62,40,11.5,scattered clouds
101,Albany,US,42.60,-73.97,61.45,64,91,3.0,overcast clouds
102,Bambous Virieux,MU,-20.34,57.76,69.22,88,40,8.05,scattered clouds
103,Severo-Kurilsk,RU,50.68,156.12,46.92,97,100,2.42,light rain
104,Yulara,AU,-25.24,130.99,59.29,36,100,7.43,overcast clouds
105,Kirkcudbright,GB,54.84,-4.05,54.37,70,79,12.93,broken clouds
106,Mahebourg,MU,-20.41,57.70,70.25,88,40,8.05,scattered clouds
107,Souillac,MU,-20.52,57.52,68.38,88,40,8.05,scattered clouds
108,Kaeo,NZ,-35.10,173.78,56.32,98,87,3.22,overcast clouds
109,Portland,US,45.52,-122.68,61.38,80,75,6.91,broken clouds
110,Nizwa,OM,22.93,57.53,88.32,57,4,4.05,clear sky
111,Klaksvik,FO,62.23,-6.59,49.12,95,100,34.43,light rain
112,Kushmurun,KZ,52.45,64.63,66.87,79,100,10.89,overcast clouds
113,Hofn,IS,64.25,-15.21,54.88,50,7,21.9,clear sky
114,Metaxades,GR,41.42,26.23,62.89,89,88,5.3,overcast clouds
115,Uige,AO,-7.61,15.06,64.44,63,82,1.99,broken clouds
116,Port Hardy,CA,50.70,-127.42,55.58,82,75,6.91,broken clouds
117,Lasa,IT,46.62,10.70,81.48,81,10,3.15,clear sky
118,Leningradskiy,RU,69.38,178.42,38.84,76,83,7.58,broken clouds
119,Dutlwe,BW,-23.98,23.90,60.15,25,0,8.86,clear sky
120,Puerto Ayora,EC,-0.74,-90.35,78.76,88,100,5.99,overcast clouds
121,Rock Springs,US,41.59,-109.20,80.24,21,75,18.41,broken clouds
122,Muravlenko,RU,63.79,74.52,61.57,50,100,7.34,overcast clouds
123,Nanortalik,GL,60.14,-45.24,47.8,72,100,13.78,light rain
124,Upernavik,GL,72.79,-56.15,33.42,92,99,25.23,overcast clouds
125,Salalah,OM,17.02,54.09,84.29,89,75,12.66,broken clouds
126,Lorengau,PG,-2.02,147.27,79.9,74,10,10.51,clear sky
127,Palmas Bellas,PA,9.23,-80.09,80.37,82,100,5.23,overcast clouds
128,Tuktoyaktuk,CA,69.45,-133.04,41.0,81,100,5.75,overcast clouds
129,Rio Gallegos,AR,-51.62,-69.22,35.65,55,20,23.02,few clouds
130,Saskylakh,RU,71.92,114.08,38.8,95,100,16.67,light rain
131,General Pico,AR,-35.66,-63.76,63.27,21,5,6.76,clear sky
132,Bambanglipuro,ID,-7.95,110.28,75.67,91,81,3.98,broken clouds
133,Kodiak,US,57.79,-152.41,53.11,71,100,4.61,overcast clouds
134,Yumen,CN,40.28,97.20,70.95,32,100,10.45,light rain
135,Kijang,KR,35.24,129.21,73.13,92,20,5.84,few clouds
136,Puqi,CN,29.72,113.88,74.7,96,100,1.92,heavy intensity rain
137,Jaicos,BR,-7.36,-41.14,93.45,24,100,6.78,overcast clouds
138,Manokwari,ID,-0.87,134.08,78.55,73,99,1.79,overcast clouds
139,Komsomolskiy,UZ,40.43,71.72,74.12,35,100,0.0,overcast clouds
140,Whittlesea,ZA,-32.18,26.82,52.05,37,100,9.69,overcast clouds
141,Pompeu,BR,-19.22,-44.94,79.41,32,60,5.68,broken clouds
142,Inhambane,MZ,-23.86,35.38,67.98,73,20,11.5,few clouds
143,Megion,RU,61.03,76.11,59.02,61,79,8.08,broken clouds
144,Ujjain,IN,23.18,75.77,85.32,56,98,13.35,overcast clouds
145,Beloha,MG,-25.17,45.05,60.76,72,0,5.28,clear sky
146,Padang,ID,-0.95,100.35,77.05,82,44,4.29,scattered clouds
147,Fortuna,US,40.60,-124.16,64.92,58,40,12.66,scattered clouds
148,Benton Harbor,US,42.12,-86.45,74.59,54,0,8.99,clear sky
149,Tiksi,RU,71.69,128.87,47.28,99,100,2.75,moderate rain
150,Bereda,ES,43.27,-7.54,66.58,89,100,3.89,overcast clouds
151,Ostrovnoy,RU,68.05,39.51,40.15,96,100,9.46,overcast clouds
152,Saint-Philippe,RE,-21.36,55.77,67.59,81,71,8.9,broken clouds
153,Marawi,PH,8.00,124.29,68.65,93,83,2.75,broken clouds
154,Vardo,NO,70.37,31.11,40.98,87,100,5.75,light intensity drizzle
155,Pevek,RU,69.70,170.31,34.48,84,100,3.94,overcast clouds
156,Frontignan,FR,43.45,3.75,78.98,67,0,7.27,clear sky
157,Tomatlan,MX,19.93,-105.25,92.48,43,100,10.56,overcast clouds
158,Kropotkin,RU,45.44,40.58,68.74,54,28,4.12,scattered clouds
159,Konigs Wusterhausen,DE,52.30,13.63,88.09,39,24,9.22,few clouds
160,Alekseyevsk,RU,57.84,108.35,56.52,91,100,17.69,light rain
161,Rocha,UY,-34.48,-54.33,52.61,45,0,11.61,clear sky
162,Manaure,CO,11.78,-72.44,89.74,54,10,15.64,clear sky
163,Vao,NC,-22.67,167.48,74.48,82,100,14.99,moderate rain
164,Akdepe,TM,42.06,59.38,84.29,34,100,20.02,overcast clouds
165,Lompoc,US,34.64,-120.46,77.02,63,0,17.27,clear sky
166,Kabare,CD,-2.47,28.82,60.13,92,67,0.85,broken clouds
167,Chokurdakh,RU,70.63,147.92,44.2,58,100,10.6,overcast clouds
168,Karratha,AU,-20.74,116.85,73.11,66,100,7.87,overcast clouds
169,Chapais,CA,49.78,-74.85,56.98,32,7,17.67,clear sky
170,Jacksonville,US,30.33,-81.66,93.22,56,75,12.66,broken clouds
171,Tura,IN,25.52,90.22,72.55,98,95,5.3,overcast clouds
