City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lhokseumawe,ID,2022-06-13 17:50:31,5.1801,97.1507,78.31,87,47,5.3
68,Coquimbo,CL,2022-06-13 17:50:32,-29.9533,-71.3436,55.13,71,0,3.44
69,Dawson Creek,CA,2022-06-13 17:50:32,55.7666,-120.2362,58.64,41,20,3.44
70,Padang,ID,2022-06-13 17:50:32,-0.9492,100.3543,76.59,87,100,4.83
71,Katsuura,JP,2022-06-13 17:50:33,35.1333,140.3,64.33,77,100,13.06
72,Vila Franca Do Campo,PT,2022-06-13 17:50:33,37.7167,-25.4333,70.2,72,29,10.63
73,Tasiilaq,GL,2022-06-13 17:50:34,65.6145,-37.6368,37.08,96,100,12.86
74,Longyearbyen,SJ,2022-06-13 17:50:34,78.2186,15.6401,42.64,61,75,6.91
75,Jiazi,CN,2022-06-13 17:50:34,22.8779,116.067,79.92,91,100,13.89
76,Maralal,KE,2022-06-13 17:50:35,1.0968,36.698,63.14,57,84,7.2
77,Nikolskoye,RU,2022-06-13 17:50:36,59.7035,30.7861,62.49,78,57,3.96
78,Kapaa,US,2022-06-13 17:50:37,22.0752,-159.319,78.12,84,20,14.97
79,Gimli,CA,2022-06-13 17:50:39,50.6336,-96.9907,59.02,94,94,9.22
80,Sitka,US,2022-06-13 17:50:41,57.0531,-135.33,51.69,82,100,3.44
81,Chicama,PE,2022-06-13 17:50:42,-7.8447,-79.1469,59.54,59,44,8.95
82,Victoria,HK,2022-06-13 17:47:38,22.2855,114.1577,84.38,87,100,11.01
83,Mandalgovi,MN,2022-06-13 17:50:44,45.7625,106.2708,62.96,34,48,6.53
84,Boguchany,RU,2022-06-13 17:50:46,58.3814,97.4531,60.6,82,58,3.69
85,Shelburne,CA,2022-06-13 17:50:48,44.0787,-80.2041,71.37,42,65,4.21
86,Kodiak,US,2022-06-13 17:50:49,57.79,-152.4072,49.51,76,100,10.36
87,Souillac,MU,2022-06-13 17:50:50,-20.5167,57.5167,71.98,73,40,13.8
88,Hamilton,US,2022-06-13 17:49:53,39.1834,-84.5333,91.6,77,100,6.91
89,Faanui,PF,2022-06-13 17:50:51,-16.4833,-151.75,79.65,66,4,18.88
90,Biak,ID,2022-06-13 17:50:53,-0.9131,122.8766,75.76,83,38,5.86
91,Carnarvon,AU,2022-06-13 17:51:53,-24.8667,113.6333,66.13,59,0,13.51
92,Albany,US,2022-06-13 17:50:13,42.6001,-73.9662,80.64,54,51,1.01
93,Nome,US,2022-06-13 17:51:55,64.5011,-165.4064,39.27,87,100,6.91
94,Kavieng,PG,2022-06-13 17:51:57,-2.5744,150.7967,81.81,75,14,13.78
95,Bardiyah,LY,2022-06-13 17:51:57,31.7561,25.0865,73.96,74,0,14.07
96,Oranjestad,AW,2022-06-13 17:51:58,12.524,-70.027,87.75,62,40,23.02
97,Ushuaia,AR,2022-06-13 17:49:51,-54.8,-68.3,42.46,100,75,18.41
98,Bredasdorp,ZA,2022-06-13 17:51:58,-34.5322,20.0403,57.43,76,100,4.27
99,Puerto Baquerizo Moreno,EC,2022-06-13 17:51:59,-0.9,-89.6,76.19,73,40,10.36
100,Superior,US,2022-06-13 17:51:59,46.7208,-92.1041,65.48,92,100,12.66
101,Puerto Ayora,EC,2022-06-13 17:52:00,-0.7393,-90.3518,80.56,86,68,5.99
102,Esperance,AU,2022-06-13 17:52:02,-33.8667,121.9,59.29,78,83,22.95
103,Greenville,US,2022-06-13 17:49:01,35.6127,-77.3663,93.15,60,40,5.75
104,Korla,CN,2022-06-13 17:52:03,41.7597,86.1469,85.5,10,2,4.59
105,Arlit,NE,2022-06-13 17:52:03,18.7369,7.3853,104.58,8,25,9.84
106,Bosaso,SO,2022-06-13 17:52:04,11.2842,49.1816,94.3,37,99,7.27
107,Havre-Saint-Pierre,CA,2022-06-13 17:52:04,50.2334,-63.5986,62.96,55,75,12.66
108,Barra Do Garcas,BR,2022-06-13 17:52:05,-15.89,-52.2567,79.38,29,0,6.91
109,Ixtapa,MX,2022-06-13 17:52:05,20.7,-105.2,86.23,69,6,7.0
110,Poum,NC,2022-06-13 17:52:06,-20.2333,164.0167,73.74,90,100,12.59
111,Seymchan,RU,2022-06-13 17:52:06,62.8833,152.4333,46.65,69,0,4.83
112,Cherskiy,RU,2022-06-13 17:52:07,68.75,161.3,58.28,36,29,3.0
113,Bani,DO,2022-06-13 17:52:07,18.2833,-70.3333,92.64,51,98,15.55
114,Georgetown,MY,2022-06-13 17:52:08,5.4112,100.3354,82.33,93,20,3.44
115,Vardo,NO,2022-06-13 17:52:09,70.3705,31.1107,46.38,81,75,13.8
116,Tuatapere,NZ,2022-06-13 17:52:09,-46.1333,167.6833,43.83,84,100,20.98
117,Alekseyevsk,RU,2022-06-13 17:52:10,57.8406,108.3492,53.96,86,75,1.54
118,Lagoa,PT,2022-06-13 17:52:11,39.05,-27.9833,62.87,78,10,12.19
119,Tautira,PF,2022-06-13 17:52:13,-17.7333,-149.15,78.62,70,80,19.57
120,Chapais,CA,2022-06-13 17:52:15,49.7834,-74.8492,62.38,53,85,4.72
121,Port Lincoln,AU,2022-06-13 17:52:15,-34.7333,135.8667,57.9,55,76,20.27
