City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Kavaratti,IN,81.79,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
209,Roxana,CR,83.03,overcast clouds,10.28,-83.75,3BYES1
210,Mao,ES,77.56,clear sky,39.89,4.27,ARTIEM Capri
211,The Valley,AI,87.66,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
213,Dakar,SN,85.08,thunderstorm,14.69,-17.44,Novotel Dakar
214,Cabo San Lucas,MX,87.19,few clouds,22.89,-109.91,Vista Roof Restaurant
220,Mana,GF,82.18,scattered clouds,5.66,-53.78,LE SAMANA
222,Port Moresby,PG,76.42,broken clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
225,Nalgonda,IN,84.61,overcast clouds,17.05,79.27,Sai Krishna Residency
226,Bone,DE,83.28,clear sky,51.97,12.14,Sporthotel Wallwitz
227,Gat,IL,77.81,clear sky,31.61,34.76,OlusHome
230,Teahupoo,PF,75.16,light rain,-17.83,-149.27,Vanira Lodge
236,Itoman,JP,80.98,overcast clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
238,Zhumadian,CN,79.36,overcast clouds,32.98,114.03,Ouyue House Hotel
241,Faanui,PF,79.56,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Guiuan,PH,82.83,overcast clouds,11.03,125.72,Khaishra Hotel
244,Vila Velha,BR,87.75,clear sky,-20.33,-40.29,Hotel Vitória Palace
245,Nanakuli,US,81.45,clear sky,21.39,-158.15,Camp Pālehua
251,Ribeira Grande,PT,70.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
259,Jambi,ID,73.09,broken clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
260,Tual,ID,81.73,overcast clouds,-5.67,132.75,Grand Vilia Hotel
262,Karera,IN,81.25,light rain,25.47,78.15,श्री हिमांशु जोशी (निवास)
263,Merauke,ID,76.89,overcast clouds,-8.47,140.33,
264,Tautira,PF,77.49,light rain,-17.73,-149.15,Pension Oaoa
265,Linhares,BR,85.41,clear sky,-19.39,-40.07,Hotel Conceição
